Provinsi,Kota,Kode Pos
Bali,Denpasar,80231
Sumatera Utara,Medan,20111
Jawa Timur,Surabaya,60111
Sumatera Selatan,Palembang,30111
Jawa Barat,Bandung,40111
Sulawesi Selatan,Makassar,90111
Riau,Pekanbaru,28111
Sumatera Barat,Padang,25111
Kalimantan Timur,Balikpapan,76111
Nusa Tenggara Timur,Kupang,85111
Jambi,Jambi,36111
Kalimantan Barat,Pontianak,78111
Kalimantan Selatan,Banjarmasin,70111
Sulawesi Tenggara,Kendari,93111
Papua,Jayapura,99111
Maluku,Ambon,97111
Kalimantan Tengah,Palangkaraya,73111
Aceh,Banda Aceh,23111
Sulawesi Utara,Manado,95111
Banten,Tangerang,15111
